country,key,value,date
ec,hip hop,0,2017-09-24
ec,hip hop,0,2017-10-01
ec,hip hop,0,2017-10-08
ec,hip hop,1886,2017-10-15
ec,hip hop,12794,2017-10-22
ec,hip hop,12871,2017-10-29
ec,hip hop,15200,2017-11-05
ec,hip hop,16234,2017-11-12
ec,hip hop,12735,2017-11-19
ec,hip hop,9963,2017-11-26
ec,hip hop,12293,2017-12-03
ec,hip hop,8140,2017-12-10
ec,hip hop,20286,2017-12-17
ec,hip hop,17118,2017-12-24
ec,hip hop,2342,2017-12-31
ec,folk,79,2017-01-01
ec,folk,0,2017-01-08
ec,folk,0,2017-01-15
ec,folk,0,2017-01-22
ec,folk,0,2017-01-29
ec,folk,0,2017-02-05
ec,folk,0,2017-02-12
ec,folk,0,2017-02-19
ec,folk,0,2017-02-26
ec,folk,0,2017-03-05
ec,folk,0,2017-03-12
ec,folk,0,2017-03-19
ec,folk,0,2017-03-26
ec,folk,0,2017-04-02
ec,folk,0,2017-04-09
ec,folk,0,2017-04-16
ec,folk,0,2017-04-23
ec,folk,1465,2017-04-30
ec,folk,0,2017-05-07
ec,folk,0,2017-05-14
ec,folk,0,2017-05-21
ec,folk,0,2017-05-28
ec,folk,0,2017-06-04
ec,folk,0,2017-06-11
ec,folk,0,2017-06-18
ec,folk,0,2017-06-25
ec,folk,0,2017-07-02
ec,folk,0,2017-07-09
ec,folk,0,2017-07-16
ec,folk,0,2017-07-23
ec,folk,0,2017-07-30
ec,folk,0,2017-08-06
ec,folk,0,2017-08-13
ec,folk,0,2017-08-20
ec,folk,0,2017-08-27
ec,folk,0,2017-09-03
ec,folk,0,2017-09-10
ec,folk,0,2017-09-17
ec,folk,0,2017-09-24
ec,folk,0,2017-10-01
ec,folk,0,2017-10-08
ec,folk,0,2017-10-15
ec,folk,0,2017-10-22
ec,folk,7421,2017-10-29
ec,folk,13755,2017-11-05
ec,folk,14000,2017-11-12
ec,folk,11753,2017-11-19
ec,folk,1803,2017-11-26
ec,folk,0,2017-12-03
ec,folk,0,2017-12-10
ec,folk,0,2017-12-17
ec,folk,2210,2017-12-24
ec,folk,0,2017-12-31
ec,classical,22,2017-01-01
ec,classical,0,2017-01-08
ec,classical,0,2017-01-15
ec,classical,0,2017-01-22
ec,classical,0,2017-01-29
ec,classical,0,2017-02-05
ec,classical,0,2017-02-12
ec,classical,0,2017-02-19
ec,classical,0,2017-02-26
ec,classical,0,2017-03-05
ec,classical,0,2017-03-12
ec,classical,0,2017-03-19
ec,classical,0,2017-03-26
ec,classical,0,2017-04-02
ec,classical,0,2017-04-09
ec,classical,0,2017-04-16
ec,classical,0,2017-04-23
ec,classical,0,2017-04-30
ec,classical,0,2017-05-07
ec,classical,0,2017-05-14
ec,classical,0,2017-05-21
ec,classical,0,2017-05-28
ec,classical,0,2017-06-04
ec,classical,0,2017-06-11
ec,classical,0,2017-06-18
ec,classical,0,2017-06-25
ec,classical,0,2017-07-02
ec,classical,0,2017-07-09
ec,classical,0,2017-07-16
ec,classical,0,2017-07-23
ec,classical,0,2017-07-30
ec,classical,0,2017-08-06
ec,classical,0,2017-08-13
ec,classical,0,2017-08-20
ec,classical,0,2017-08-27
ec,classical,0,2017-09-03
ec,classical,0,2017-09-10
ec,classical,0,2017-09-17
ec,classical,0,2017-09-24
ec,classical,0,2017-10-01
ec,classical,0,2017-10-08
ec,classical,0,2017-10-15
ec,classical,0,2017-10-22
ec,classical,0,2017-10-29
ec,classical,0,2017-11-05
ec,classical,0,2017-11-12
ec,classical,0,2017-11-19
ec,classical,0,2017-11-26
ec,classical,0,2017-12-03
ec,classical,0,2017-12-10
ec,classical,2314,2017-12-17
ec,classical,12915,2017-12-24
ec,classical,0,2017-12-31
ec,metal,34,2017-01-01
ec,metal,0,2017-01-08
ec,metal,0,2017-01-15
ec,metal,0,2017-01-22
ec,metal,0,2017-01-29
ec,metal,0,2017-02-05
ec,metal,0,2017-02-12
ec,metal,0,2017-02-19
ec,metal,0,2017-02-26
ec,metal,0,2017-03-05
ec,metal,0,2017-03-12
ec,metal,0,2017-03-19
ec,metal,0,2017-03-26
ec,metal,0,2017-04-02
ec,metal,0,2017-04-09
ec,metal,0,2017-04-16
ec,metal,0,2017-04-23
ec,metal,0,2017-04-30
ec,metal,0,2017-05-07
ec,metal,0,2017-05-14
ec,metal,0,2017-05-21
ec,metal,0,2017-05-28
ec,metal,0,2017-06-04
ec,metal,0,2017-06-11
ec,metal,0,2017-06-18
ec,metal,0,2017-06-25
ec,metal,0,2017-07-02
ec,metal,0,2017-07-09
ec,metal,0,2017-07-16
ec,metal,0,2017-07-23
ec,metal,0,2017-07-30
ec,metal,0,2017-08-06
ec,metal,0,2017-08-13
ec,metal,0,2017-08-20
ec,metal,0,2017-08-27
ec,metal,0,2017-09-03
ec,metal,0,2017-09-10
ec,metal,0,2017-09-17
ec,metal,0,2017-09-24
ec,metal,0,2017-10-01
ec,metal,0,2017-10-08
ec,metal,0,2017-10-15
ec,metal,0,2017-10-22
ec,metal,0,2017-10-29
ec,metal,0,2017-11-05
ec,metal,0,2017-11-12
ec,metal,0,2017-11-19
ec,metal,0,2017-11-26
ec,metal,0,2017-12-03
ec,metal,0,2017-12-10
ec,metal,0,2017-12-17
ec,metal,0,2017-12-24
ec,metal,0,2017-12-31
ec,punk,23,2017-01-01
ec,punk,0,2017-01-08
ec,punk,0,2017-01-15
ec,punk,0,2017-01-22
ec,punk,0,2017-01-29
ec,punk,0,2017-02-05
ec,punk,0,2017-02-12
ec,punk,0,2017-02-19
ec,punk,0,2017-02-26
ec,punk,0,2017-03-05
ec,punk,0,2017-03-12
ec,punk,0,2017-03-19
