country,key,value,date
ec,hip hop,9963,11/26/17
ec,hip hop,12293,12/03/17
ec,hip hop,8140,12/10/17
ec,hip hop,20286,12/17/17
ec,hip hop,17118,12/24/17
ec,hip hop,20755,12/31/17
ec,hip hop,12491,01/07/18
ec,folk,79,01/01/17
ec,folk,0,01/08/17
ec,folk,0,01/15/17
ec,folk,0,01/22/17
ec,folk,0,01/29/17
ec,folk,0,02/05/17
ec,folk,0,02/12/17
ec,folk,0,02/19/17
ec,folk,0,02/26/17
ec,folk,0,03/05/17
ec,folk,0,03/12/17
ec,folk,0,03/19/17
ec,folk,0,03/26/17
ec,folk,0,04/02/17
ec,folk,0,04/09/17
ec,folk,0,04/16/17
ec,folk,0,04/23/17
ec,folk,1465,04/30/17
ec,folk,0,05/07/17
ec,folk,0,05/14/17
ec,folk,0,05/21/17
ec,folk,0,05/28/17
ec,folk,0,06/04/17
ec,folk,0,06/11/17
ec,folk,0,06/18/17
ec,folk,0,06/25/17
ec,folk,0,07/02/17
ec,folk,0,07/09/17
ec,folk,0,07/16/17
ec,folk,0,07/23/17
ec,folk,0,07/30/17
ec,folk,0,08/06/17
ec,folk,0,08/13/17
ec,folk,0,08/20/17
ec,folk,0,08/27/17
ec,folk,0,09/03/17
ec,folk,0,09/10/17
ec,folk,0,09/17/17
ec,folk,0,09/24/17
ec,folk,0,10/01/17
ec,folk,0,10/08/17
ec,folk,0,10/15/17
ec,folk,0,10/22/17
ec,folk,7421,10/29/17
ec,folk,13755,11/05/17
ec,folk,14000,11/12/17
ec,folk,11753,11/19/17
ec,folk,1803,11/26/17
ec,folk,0,12/03/17
ec,folk,0,12/10/17
ec,folk,0,12/17/17
ec,folk,2210,12/24/17
ec,folk,0,12/31/17
ec,folk,3623,01/07/18
ec,classical,22,01/01/17
ec,classical,0,01/08/17
ec,classical,0,01/15/17
ec,classical,0,01/22/17
ec,classical,0,01/29/17
ec,classical,0,02/05/17
ec,classical,0,02/12/17
ec,classical,0,02/19/17
ec,classical,0,02/26/17
ec,classical,0,03/05/17
ec,classical,0,03/12/17
ec,classical,0,03/19/17
ec,classical,0,03/26/17
ec,classical,0,04/02/17
ec,classical,0,04/09/17
ec,classical,0,04/16/17
ec,classical,0,04/23/17
ec,classical,0,04/30/17
ec,classical,0,05/07/17
ec,classical,0,05/14/17
