id,artist_id,artist_name,genres,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,acousticness,tempo
1NDlddwpgBdYYDWRPyXVIc,51yFVX4bDGD1me2jOFKTmw,Uji Rashid,/classic malaysian pop/malaysian pop/rock kapak/,0.447,0.0251,0.312,-7.58,0.0299,0.248,0.246,0.788,143.629
4r3DLFDqeKHnEvmfitVCeF,6XGj8QCc5uKv4dt6pkdCKS,Jerry Williams,//,0.714,0.0000167,0.12,-6.776,0.0295,0.883,0.705,0.0274,104.011
69Ut0yuZkxrksrrJi9FH5Q,undefined,undefined,undefined,0.813,0.00000349,0.208,-7.615,0.0358,0.706,0.65,0.161,99.989
6prid7HaCg8gEsFzpTvdeq,undefined,undefined,undefined,0.892,0.0042,0.0728,-4.66,0.0446,0.0356,0.641,0.0204,104.994
7BKUWh5sdtdS17crohRe4L,4xRYI6VqpkE3UwrDrAZL8L,Logic,/hip hop/pop rap/rap/,0.869,0.0000738,0.441,-5.293,0.101,0.331,0.617,0.132,139.994
0LuTkQwYHneCPSt1vFMp7L,0AK0qOs8ykb6CsaYks1xwK,Arttu Lindeman,/finnish dance pop/finnish hip hop/,0.624,0,0.18,-6.732,0.139,0.362,0.663,0.579,91.969
1tTVY3pveEQvrjWbOdGEvW,6fCylnBqt47fMNEPaANT2B,Slim Mill,/finnish dance pop/finnish hip hop/,0.648,0.00462,0.187,-7.275,0.159,0.783,0.878,0.146,120.046
5q20O5jDwFYtoRf3KFxNEM,undefined,undefined,undefined,0.853,0,0.641,-2.654,0.0327,0.268,0.596,0.037,100.983
2sErWB30DgNnUOR0VuRJPy,4nXezpatStChCEWVvYLjd5,TopGunn,/danish hip hop/danish pop/deep danish pop/,0.723,0,0.236,-6.657,0.0351,0.355,0.688,0.0102,104.051
1w7VLLyAq8ZTMHU0niW5mU,undefined,undefined,undefined,0.667,0,0.117,-5.818,0.225,0.468,0.643,0.21,177.934
46Y1VsEbWAQ7dIZe1gpnve,undefined,undefined,undefined,0.908,0.592,0.116,-2.42,0.0326,0.968,0.63,0.0238,120.522
4VXejnj5WgM6H72ct2fSgQ,3PAwspMN27PDm81WwXDsMf,Reykon,/latin/latin hip hop/latin pop/pop/reggaeton/reggaeton flow/trap latino/tropical/,0.929,0,0.171,-3.022,0.106,0.812,0.723,0.119,92.964
4gEg092KBuj6T6RfABNBbc,0YRwUbRxrawmnBdixwJi5W,Regulo Caro,/banda/deep regional mexican/norteno/regional mexican/regional mexican pop/,0.581,0,0.104,-5.417,0.232,0.538,0.702,0.784,147.764
1zxhWUZFs9aVxo9o8ISfrK,4hKoG9QvxsFDLIntc6tZ0g,Jacin Trill,/deep dutch hip hop/dutch hip hop/,0.523,0.0573,0.101,-13.856,0.217,0.737,0.852,0.0619,152.03
0iKZOzJldfcGOIU9pvRhOh,3X23gpg1vPacr0hBARyxtN,Karpe,/classic norwegian pop/norwegian hip hop/norwegian indie/norwegian pop/norwegian rock/tropical house/,0.834,0.0000115,0.106,-5.408,0.47,0.641,0.386,0.033,181.961
43pg0oNIUwWBCFGZSkomaE,5GvMLzUp6tMBpaCbr903RN,Broederliefde,/deep dutch hip hop/dutch hip hop/,0.619,0.00000105,0.0752,-7.903,0.23,0.31,0.842,0.0079,100
1hkM6wr47hVWSEK6EY4nAl,6pcxIOhQCNb7DX2iuEXgxL,Tobtok,/deep tropical house/nu disco/tropical house/,0.898,0.000118,0.532,-3.879,0.123,0.487,0.691,0.161,120.042
5Wl7mmfzsTGmlOtQvwgeJm,undefined,undefined,undefined,0.731,0.00165,0.0686,-6.39,0.0775,0.874,0.665,0.518,161.971
46HOH87LWGjyHDbCuViprb,7hdXOb76rDsDAe3ZdDstT3,Milbo,/danish hip hop/deep danish pop/,0.643,0,0.122,-5.097,0.0481,0.481,0.74,0.104,134.026
0wT2QRF3Z9jiKKd7Gjs4sq,undefined,undefined,undefined,0.84,0,0.748,-4.602,0.054,0.452,0.697,0.106,128.034
0dMWL9laoZYIySUxSrRSil,32WkQRZEVKSzVAAYqukAEA,Lady Antebellum,/contemporary country/country/country dawn/country road/neo mellow/pop rock/,0.463,0,0.0457,-6.529,0.0306,0.733,0.646,0.38,147.081
3Ux92S4PuTNJekC34gSopu,7lunlYxuEarsOliRJctz25,Tuuli,/finnish dance pop/finnish pop/,0.779,0,0.096,-5.557,0.0359,0.584,0.617,0.00587,149.875
60kbOtSEKKPs0OclmPVyTD,undefined,undefined,undefined,0.181,0.00000127,0.136,-20.152,0.032,0.586,0.424,0.99,84.776
0yhNApb5f23UkttdQekW3P,undefined,undefined,undefined,0.489,0,0.29,-5.595,0.04,0.543,0.569,0.235,123.567
6pSYjx66rlqRmGGTHhnjCo,7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,/brazilian electronica/deep funk carioca/,0.467,0.00000291,0.226,-6.499,0.117,0.249,0.532,0.0133,76.792
0kSWxLWJQQ3lRKyRBuGRIy,undefined,undefined,undefined,0.565,0,0.288,-9.569,0.0249,0.452,0.639,0.0119,93.016
6KAw9NEvkVlIhg5T0G97M8,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,/c-pop/mandopop/,0.295,0,0.13,-9.924,0.0251,0.301,0.493,0.494,86.982
0fYScT65f2M6n14Ak9N6Lj,2Q6FSq5L8qxRKODBLpFE5Z,Albert Dyrlund,/danish hip hop/deep danish pop/,0.596,0,0.0878,-4.462,0.0699,0.463,0.72,0.352,84.007
2YEL7oERMj7nAJGjoAV9Hs,undefined,undefined,undefined,0.852,0.0000511,0.241,-9.519,0.222,0.884,0.526,0.731,157.403
59RR3auWejkJ6nk2jtHr6s,undefined,undefined,undefined,0.616,0.00045,0.125,-6.53,0.0349,0.0824,0.491,0.0152,116.145
5GEP0CP12m8vxaICOgIQ30,4XLISC9SzRTcR34fosyMtw,Stor,/deep swedish hip hop/swedish hip hop/,0.647,0,0.125,-7.717,0.182,0.393,0.45,0.105,87.227
6ixa5GMwLndThnBYzUOf7J,0INETKNJYPVfrzAnOuo9H4,Johnny Sellah,/deep dutch hip hop/dutch hip hop/,0.8,0.0000117,0.108,-5.686,0.291,0.679,0.562,0.336,89.718
68py7hjoxoGSE8HEoQIIwi,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,/bachata/latin/tropical/,0.639,0,0.172,-6.281,0.066,0.835,0.803,0.423,120.019
3ZqixLSZfWG7WCZPotxmu0,undefined,undefined,undefined,0.729,0,0.103,-6.71,0.283,0.746,0.7,0.148,147.081
06ZsqBFywPVdY1G9up5ZBi,undefined,undefined,undefined,0.855,0,0.325,-4.696,0.0619,0.906,0.767,0.114,104.003
1dzQoRqT5ucxXVaAhTcT0J,undefined,undefined,undefined,0.739,0.0000426,0.181,-4.541,0.0311,0.745,0.822,0.0264,118.992
0Dljpp52vCmtXi0E94qjfo,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,/classic opm/opm/pinoy alternative/,0.273,0,0.117,-7.697,0.0362,0.176,0.389,0.705,134.124
4NfphNeMAmfPoEi84V02Vf,undefined,undefined,undefined,0.764,0.00000973,0.0995,-6.159,0.306,0.697,0.662,0.574,139.994
3KZ0AsCkUgYDagOtAljFn5,4tJ6n38cpgqKuzjSX24BJA,Stavangerkameratene,/norwegian pop/,0.788,0,0.414,-5.374,0.0311,0.396,0.644,0.167,123.975
3SRmSj6z9YVdXRaPJc3oPM,3X23gpg1vPacr0hBARyxtN,Karpe,/classic norwegian pop/norwegian hip hop/norwegian indie/norwegian pop/norwegian rock/tropical house/,0.735,0.00000198,0.309,-4.303,0.0611,0.37,0.703,0.037,137.981
2qxd9YAbjnHdwbDH53oqwe,undefined,undefined,undefined,0.549,0,0.161,-7.983,0.0538,0.261,0.538,0.222,134.069
2d8rQXA25Yk5ZE3XW1eTXs,undefined,undefined,undefined,0.65,0,0.0822,-3.604,0.158,0.389,0.834,0.0278,96.933
5JLo5WELPiUJq8LeSrBuzf,7LbuenKfQNLPKzvi1rKPBG,Madden,/deep pop edm/norwegian pop/tropical house/,0.701,0,0.0557,-4.363,0.0522,0.716,0.618,0.0722,125.06
1cqPLxACqyzzWXND3hkaoa,7yOobv5U0tQXYJaow5MN9P,Noord-Hollands Kinderkoor,//,0.377,0,0.161,-11.088,0.0363,0.71,0.436,0.6,183.989
4TMSpd66jF724ZS2upj8rd,3t6M0vALIHegaQcuJPjYbM,Los de YolombÃ³,//,0.834,0,0.403,-5.373,0.103,0.667,0.849,0.2,95.027
39shmbIHICJ2Wxnk1fPSdz,3RGLhK1IP9jnYFH4BRFJBS,The Clash,/classic rock/dance rock/new wave/permanent wave/punk/rock/,0.833,0,0.384,-6.463,0.115,0.816,0.742,0.079,113.375
4kv3C9039VmtzykQCBefqp,4owt1GWUqAh4gsXT13roop,Jairzinho,/deep dutch hip hop/dutch hip hop/,0.809,0.000121,0.0616,-5.717,0.0944,0.633,0.788,0.0806,110.032
4vw3C4Ro3OUD0MNmROKm6e,undefined,undefined,undefined,0.631,0,0.0905,-5.542,0.358,0.385,0.785,0.174,90.646
3FAkTfO1rgAv0mQU0PFosu,undefined,undefined,undefined,0.408,0,0.101,-9.901,0.0303,0.413,0.437,0.452,160.006
2YTzBBMPkf2mETq2FyzoUs,undefined,undefined,undefined,0.739,0,0.2,-2.456,0.0334,0.432,0.598,0.156,89.999
7iYpRSETKCnEJnd5RhyGtF,4AJcTAMOLkRl3vf4syay8Q,Jam Hsiao,/c-pop/classic mandopop/mandopop/,0.147,0.00000337,0.0764,-14.682,0.0401,0.231,0.326,0.847,143.955
1vXEuEbwDl21WEyOoClNmg,undefined,undefined,undefined,0.838,0.00000338,0.226,-4.432,0.0349,0.305,0.685,0.000935,102.012
0ban5QRXUveaKtQPGuaoQ9,undefined,undefined,undefined,0.826,0.00000138,0.209,-5.166,0.248,0.813,0.787,0.626,179.974
4W2cfJpM3ZxHV8OrMlL2up,7pbijUBmXdie5ChABSM4F7,Smack,//,0.843,0,0.208,-4.795,0.11,0.254,0.675,0.0798,128.024
5ZtoiFGlZ3tur8NJAMn0ws,6pdcQa7by8IKuoVXvgknlI,RilÃ¨s,//,0.867,0,0.171,-5.37,0.106,0.418,0.758,0.427,140.984
4Vg5DX38XeHrWXcE22DMNg,1cA379ILgR07m7XQVXyP6Q,Sneazzy,/french hip hop/trap francais/,0.505,0,0.122,-4.636,0.198,0.676,0.835,0.721,140.043
1FM5wVAFGwG5q4dnd5fDIt,3eMchOXfWkF7H7z3z8dGrf,HANA,/cantopop/,0.525,0,0.118,-7.544,0.0425,0.332,0.502,0.712,107.495
3dknJTYvGpH3WPzeNZkFvm,undefined,undefined,undefined,0.881,0,0.0749,-5.5,0.431,0.582,0.506,0.282,90.768
2vpDGSYfVUUGGapUEnL5Sy,undefined,undefined,undefined,0.606,0.0000115,0.247,-6.059,0.0281,0.307,0.558,0.00294,99.956
6yDVzSw6ADBAQNgBSkkdw6,0uGApGjjFXKwUOAqYBeX7B,Deepend,/deep house/,0.688,0.000166,0.104,-5.617,0.0367,0.64,0.743,0.00522,118.007
18aQWV4Nrf5fH5rKFl3jDh,undefined,undefined,undefined,0.83,0.00000381,0.233,-3.513,0.129,0.416,0.612,0.00596,110.116
